date,tickets,WindSpeed,Precipitation,Snow,Temperature,holidays,weekdays,pickup
2015-01-01,-1.9382247100424426,0.7744878817886731,-0.36801287887429524,-0.11493851886346602,-1.2948657960199372,-0.23531234737354056,0.6728946858521089,-1.4783104713649657
2015-01-02,1.8580459333158668,0.7744878817886731,-0.36801287887429524,-0.11493851886346602,-0.9838845886699731,4.249670751074389,-1.4861166554371956,-1.6007258705541396
2015-01-03,-0.25512492984645835,0.5020974979437393,1.8017506592253076,-0.11493851886346602,-1.0404266263699666,-0.23531234737354056,0.6728946858521089,-1.4658280277085958
2015-01-04,-1.822499129725055,0.5020974979437393,0.548788616097368,-0.11493851886346602,-0.41846421167003806,-0.23531234737354056,-1.4861166554371956,-1.591782731807606
2015-01-05,1.7623637332885598,2.1364398010133425,-0.36801287887429524,-0.11493851886346602,-1.1817817206199503,-0.23531234737354056,-1.4861166554371956,-1.5808183117023082
2015-01-06,0.9251671565567391,-0.4980224188600478,-0.21521262971235136,0.8443849359642865,-2.0016412672698563,-0.23531234737354056,0.6728946858521089,-1.5099249618416415
2015-01-07,1.2069535029878697,3.0471180992411813,-0.36801287887429524,-0.11493851886346602,-2.256080436919827,-0.23531234737354056,0.6728946858521089,-1.444039439673914
2015-01-08,2.766528016418743,1.4087102680544896,-0.36801287887429524,-0.11493851886346602,-2.3408934934698173,-0.23531234737354056,0.6728946858521089,-1.3825429855995035
2015-01-09,1.8868866343667519,1.4087102680544896,-0.15409253004757378,1.3240466633781627,-1.6906600599198918,-0.23531234737354056,0.6728946858521089,-1.3864287958851282
2015-01-10,1.5953053328617357,1.1363198842095557,-0.36801287887429524,-0.11493851886346602,-2.0581833049698495,-0.23531234737354056,0.6728946858521089,-1.3265658671537193
2015-01-11,-0.7298174748160553,0.31914873267475374,-0.36801287887429524,-0.11493851886346602,-1.6058470033699017,-0.23531234737354056,-1.4861166554371956,-1.4756951807905645
2015-01-12,2.5696312806279527,-0.591529565553085,0.7321489150917005,-0.11493851886346602,-1.0686976452199632,-0.23531234737354056,-1.4861166554371956,-1.475422926566731
2015-01-13,4.047127698300804,1.3192686494785408,-0.36801287887429524,-0.11493851886346602,-1.6623890410698952,-0.23531234737354056,0.6728946858521089,-1.4354345561751736
2015-01-14,3.269970568410763,0.4085903512507021,-0.36801287887429524,-0.11493851886346602,-1.8037441353198789,-0.23531234737354056,0.6728946858521089,-1.4380085961096003
